Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot
297.133,947463,533817,1660.74,0.0169995,0.00459424,0.999516,-0.0256307,-1.752,0,0
297.181,947463,533817,1660.74,0.0169995,0.00459424,0.999516,-0.0256307,-1.773,0,0
297.18,947463,533817,1660.74,0.0169995,0.00459424,0.999516,-0.0256307,-1.798,0,0
297.193,947463,533817,1660.74,0.0169995,0.00459424,0.999516,-0.0256307,-1.822,0,0
297.223,947463,533817,1660.74,0.0169995,0.00459424,0.999516,-0.0256307,-1.845,0,0
297.233,947463,533817,1660.74,0.0148779,0.00432359,0.999449,-0.0293666,-1.868,0,0
297.254,947463,533817,1660.74,0.0148779,0.00432359,0.999449,-0.0293666,-1.891,0,0
297.289,947463,533817,1660.74,0.0148779,0.00432359,0.999449,-0.0293666,-1.91,0,0
297.3,947463,533817,1660.74,0.0148779,0.00432359,0.999449,-0.0293666,-1.917,0,0
297.313,947463,533817,1660.74,0.0148779,0.00432359,0.999449,-0.0293666,-1.926,0,0
297.333,947463,533817,1660.74,0.0127047,0.00356308,0.999351,-0.0335059,-1.934,0,0
297.365,947463,533817,1660.74,0.0127047,0.00356308,0.999351,-0.0335059,-1.939,0,0
297.373,947463,533817,1660.74,0.0127047,0.00356308,0.999351,-0.0335059,-1.953,0,0
297.394,947463,533817,1660.74,0.0127047,0.00356308,0.999351,-0.0335059,-1.974,0,0
297.437,947463,533817,1660.74,0.0127047,0.00356308,0.999351,-0.0335059,-1.994,0,0
297.439,947463,533817,1660.74,0.0119535,0.00307206,0.999119,-0.0401055,-2.008,0,0
297.454,947463,533817,1660.74,0.0119535,0.00307206,0.999119,-0.0401055,-2.017,0,0
297.49,947463,533817,1660.74,0.0119535,0.00307206,0.999119,-0.0401055,-2.027,0,0
297.501,947463,533817,1660.74,0.0119535,0.00307206,0.999119,-0.0401055,-2.034,0,0
297.514,947463,533817,1660.74,0.0119535,0.00307206,0.999119,-0.0401055,-2.038,0,0
297.533,947464,533817,1660.74,0.0129681,0.00292194,0.998836,-0.0463699,-2.037,0,0
297.576,947464,533817,1660.74,0.0129681,0.00292194,0.998836,-0.0463699,-2.039,0,0
297.576,947464,533817,1660.74,0.0129681,0.00292194,0.998836,-0.0463699,-2.052,0,0
297.594,947464,533817,1660.74,0.0129681,0.00292194,0.998836,-0.0463699,-2.064,0,0
297.637,947464,533817,1660.74,0.0129681,0.00292194,0.998836,-0.0463699,-2.074,0,0
297.637,947464,533817,1660.73,0.0128731,0.00324825,0.998621,-0.0507992,-2.084,0,0
297.653,947464,533817,1660.73,0.0128731,0.00324825,0.998621,-0.0507992,-2.092,0,0
297.69,947464,533817,1660.73,0.0128731,0.00324825,0.998621,-0.0507992,-2.099,0,0
297.7,947464,533817,1660.73,0.0128731,0.00324825,0.998621,-0.0507992,-2.101,0,0
297.713,947464,533817,1660.73,0.0128731,0.00324825,0.998621,-0.0507992,-2.102,0,0
297.733,947464,533817,1660.73,0.0110344,0.00293673,0.998383,-0.055694,-2.108,0,0
297.765,947464,533817,1660.73,0.0110344,0.00293673,0.998383,-0.055694,-2.115,0,0
297.773,947464,533817,1660.73,0.0110344,0.00293673,0.998383,-0.055694,-2.123,0,0
297.794,947464,533817,1660.73,0.0110344,0.00293673,0.998383,-0.055694,-2.13,0,0
297.826,947464,533817,1660.73,0.0110344,0.00293673,0.998383,-0.055694,-2.133,0,0
297.833,947464,533817,1660.73,0.0125716,0.00214702,0.997994,-0.0620134,-2.132,0,0
297.853,947464,533817,1660.73,0.0125716,0.00214702,0.997994,-0.0620134,-2.132,0,0
297.895,947464,533817,1660.73,0.0125716,0.00214702,0.997994,-0.0620134,-2.131,0,0
297.901,947464,533817,1660.73,0.0125716,0.00214702,0.997994,-0.0620134,-2.125,0,0
297.913,947464,533817,1660.73,0.0125716,0.00214702,0.997994,-0.0620134,-2.118,0,0
297.933,947464,533817,1660.73,0.0159269,0.00191621,0.99751,-0.0686725,-2.112,0,0
297.962,947464,533817,1660.73,0.0159269,0.00191621,0.99751,-0.0686725,-2.112,0,0
